[2024-09-14 21:15:30] ATTACK: Operation Dark Sword | STATUS: FAIL
[2024-09-14 21:45:12] DEFEND: Shield Barricade | STATUS: SUCCESS
[2024-09-14 22:00:45] ATTACK: Nightfall Raid | STATUS: SUCCESS
[2024-09-14 22:15:10] DEFEND: Midnight Guard | STATUS: FAIL
[2024-09-14 22:35:32] ATTACK: Storm Blitz | STATUS: FAIL
[2024-09-14 23:05:21] DEFEND: Iron Sentinel | STATUS: FAIL
[2024-09-14 23:25:09] ATTACK: Black Arrow | STATUS: SUCCESS
[2024-09-14 23:45:23] DEFEND: Fortress Wall | STATUS: FAIL
[2024-09-15 00:15:00] DEFEND: Dawn Shield | STATUS: SUCCESS
[2024-09-15 00:45:56] ATTACK: Eagle's Wing | STATUS: FAIL
[2024-09-15 01:00:15] DEFEND: Last Guard | STATUS: SUCCESS
[2024-09-15 01:25:33] ATTACK: Operation Cold Steel | STATUS: SUCCESS
[2024-09-15 01:55:29] DEFEND: Stronghold Defense | STATUS: FAIL
[2024-09-15 02:10:00] ATTACK: Silent Storm | STATUS: SUCCESS
[2024-09-15 02:35:56] ATTACK: Thunderstrike | STATUS: FAIL
[2024-09-15 03:10:15] DEFEND: Fortress Dawn | STATUS: FAIL
[2024-09-15 03:35:33] ATTACK: Ironclad Strike | STATUS: SUCCESS
[2024-09-15 04:00:29] DEFEND: Morning Defense | STATUS: FAIL
[2024-09-15 04:30:00] ATTACK: Breaking Dawn | STATUS: SUCCESS
[2024-09-15 05:15:42] ATTACK: Sunrise Charge | STATUS: FAIL
[2024-09-15 06:10:20] DEFEND: Morning Fortress | STATUS: SUCCESS
[2024-09-15 07:30:32] ATTACK: Stormbreak Assault | STATUS: SUCCESS
[2024-09-15 08:00:00] DEFEND: Fortress Sentinel | STATUS: FAIL
[2024-09-15 09:10:05] ATTACK: Solar Strike | STATUS: SUCCESS
[2024-09-15 10:20:45] DEFEND: Iron Shield | STATUS: SUCCESS
[2024-09-15 11:35:21] ATTACK: Twilight Ambush | STATUS: FAIL
[2024-09-15 12:10:05] DEFEND: Iron Wall | STATUS: SUCCESS
[2024-09-15 13:00:59] ATTACK: Night Shadow | STATUS: FAIL
[2024-09-15 14:20:48] DEFEND: Fortress Guardian | STATUS: SUCCESS
[2024-09-15 15:30:29] ATTACK: Shadow Blitz | STATUS: SUCCESS
[2024-09-15 16:40:05] ATTACK: Crimson Strike | STATUS: SUCCESS
[2024-09-15 17:10:10] DEFEND: Fortress Hold | STATUS: FAIL
[2024-09-15 18:00:45] ATTACK: Phoenix Assault | STATUS: SUCCESS
[2024-09-15 19:00:20] DEFEND: Iron Rampart | STATUS: SUCCESS
[2024-09-15 20:10:52] ATTACK: Operation Night Stalker | STATUS: SUCCESS
[2024-09-15 21:30:32] ATTACK: Shadowfall Attack | STATUS: FAIL
[2024-09-15 22:05:01] ATTACK: Silent Blade | STATUS: SUCCESS
[2024-09-15 23:25:12] DEFEND: Iron Curtain | STATUS: FAIL
[2024-09-16 00:15:20] ATTACK: Midnight Strike | STATUS: SUCCESS
[2024-09-16 01:05:33] DEFEND: Fortress Dawn | STATUS: FAIL
[2024-09-16 02:30:50] DEFEND: Shield of Night | STATUS: SUCCESS
